"","text","stringAsFactors"
"133","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"134","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"135","silahkan vaksinnya kak   tembus ke pedlindungi  dapat tiket kartu vaksin  proses cepat  murah  trusted  data aman  testi cek di pinned twitter  langsung klik link bio untuk order ya   zonauang zonajajan jasavaksin jokivaksin vaksin zonabu ",FALSE
"136","   sungaibuloh pru ge kj vaksin barisannasional",FALSE
"137","kapan lagi tanpa ngantri tanpa ribet gangguan penyakit takut jarum suntik bisa di bantu disini tembus aplikasi nik  barcode do  keluar kotanegri aktif  jokivaksin agenttiket agentumroh okerkorea vaksinmalang vaksin vaksiindonesia agenttravel ",FALSE
"138","open jasa tembak vaksin dan unlock imei buat iphoneandroid nya yg ke blokir ya more info dm me gt   vaksin boster unlockimei imeiblokir smartfren ",FALSE
"139","open jasa sertifikat vaksin dosis booster terdaftar di pedulilindungi booster belum  bulan bisa juga dan gotong royong buruan inbox zonauang vaksin tembakvaksin vaksintembak dorvaksin jasajoki jasa ",FALSE
"140","vaksinasi vaksin covid   pemerintah kabupaten aceh barat melalui dinas kesehatan setempat masih terus melanjutkan program vaksinasi coronavirus disease covid guna meningkatkan kekebalan tubuh masyarakat melawan virus    lewat ",FALSE
"141","vaksinasi vaksin covid   pemerintah kabupaten aceh barat melalui dinas kesehatan setempat masih terus melanjutkan program vaksinasi coronavirus disease covid guna meningkatkan kekebalan tubuh masyarakat melawan virus    lewat ",FALSE
"142","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"143","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"144","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"145","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"146","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"147","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"148","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"149","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"150","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"151","aceh ulamaaceh bandaaceh indonesia covid vaksin vaksinhalal vaksinaman prokes protokolkesehatan ",FALSE
"152","yang ingin di bantu jasa vaksin langsung saja ya wa saya  proses cepat join juga ke grup fb saya yaa   zonauang zonajajan lokerbatam lokerbali jokivaksin vaksinmurah covid vaksindenpasar vaksin agentravel agenpesawat tiketpesawat lisa ",FALSE
"153","tidak perlu takut di vaksin vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus corona varian baru omicron ba dan ba vaksin ayovaksincovid ",FALSE
